samplingLocation,GEOID,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
shelter,53033011401,11,11,8.427702931,2.179149635,4.955405071,8.159338761,13.43686033,7.648188991
shelter,53033012000,2,2,2.259702222,0.798465134,1.08763035,2.130592345,4.174551204,1.894173882
shelter,53033020600,0,0,0.68558587,0.27760232,0.296048171,0.635462562,1.364332523,0.545949555
shelter,53033021100,1,1,0.873598306,0.315043609,0.414071884,0.821788318,1.631309339,0.727237653
shelter,53033021804,1,1,0.47443272,0.26296536,0.150417587,0.414940969,1.145012998,0.317430979
shelter,53033022005,0,0,0.441659303,0.176275202,0.193049457,0.410191148,0.871776778,0.35383489
shelter,53033022603,0,0,0.409160052,0.174339029,0.169014345,0.37641061,0.838509096,0.318586063
shelter,53033022801,0,0,0.393801156,0.166851128,0.16348752,0.362593714,0.804383235,0.307422525
shelter,53033023202,0,0,0.325505405,0.156370957,0.12008773,0.29340021,0.717038192,0.238392223
shelter,53033023603,0,0,0.372721875,0.149417064,0.162315728,0.345955363,0.737532663,0.298060045
shelter,53033025400,0,0,0.4751656,0.223758303,0.178782301,0.429878979,1.033917362,0.351851784
shelter,53033025805,0,0,0.362219856,0.140145643,0.162442691,0.337813599,0.702671764,0.293840643
shelter,53033028500,0,0,0.428664673,0.177643971,0.181453951,0.39600273,0.864439964,0.337974203
shelter,53033029204,0,0,0.277875135,0.115950337,0.116921339,0.256442088,0.562587922,0.218421701
shelter,53033029305,0,0,0.312572484,0.133900125,0.128499135,0.287315996,0.64258054,0.242774736
shelter,53033030004,0,0,0.273177655,0.130124842,0.10163286,0.24662294,0.598621017,0.201014693
shelter,53033030005,0,0,0.270189891,0.11584962,0.110985012,0.248322917,0.555747509,0.209767076
shelter,53033030310,1,1,0.364178968,0.176120146,0.133464727,0.327846717,0.805556456,0.265714605
shelter,53033030504,0,0,0.231935738,0.100611055,0.094277641,0.212776062,0.480337226,0.179081093
shelter,53033030901,0,0,0.262836429,0.136978838,0.089157136,0.233076628,0.609495522,0.183300898
shelter,53033031604,0,0,0.233215583,0.104732299,0.091821402,0.212744637,0.493044674,0.177047423
shelter,53033031909,0,0,0.291178823,0.112922102,0.130335719,0.271476737,0.565588308,0.235995349
shelter,53033032318,0,0,0.274994976,0.111078272,0.11899323,0.25497727,0.546491139,0.219210468
shelter,53033032702,0,0,0.231897569,0.098979683,0.095644256,0.213279749,0.475716426,0.180419534
shelter,53033000402,1,1,1.594860343,0.589152582,0.742079095,1.496037538,3.016678518,1.316408788
shelter,53033004302,2,2,2.522152881,0.918602864,1.186456758,2.369848391,4.734588221,2.092356307
shelter,53033007000,1,1,1.91254037,0.64573413,0.951587204,1.812036487,3.451213778,1.626618264
shelter,53033022701,1,1,0.669222932,0.235053225,0.323549192,0.631405126,1.23243993,0.562086182
shelter,53033026600,0,0,2.001961452,0.637979968,1.036768703,1.907440019,3.509957458,1.731642206
shelter,53033028403,0,0,0.377983717,0.179256076,0.141236701,0.341518526,0.826037307,0.278809989
shelter,53033029403,0,0,0.272742324,0.111136223,0.117143018,0.252576087,0.544717506,0.216612778
shelter,53033032203,0,0,0.2918813,0.106501098,0.137113007,0.274196919,0.548453293,0.241986494
shelter,53033031000,0,0,0.238237905,0.118089141,0.085159959,0.213449898,0.535155481,0.171356658
shelter,53033004000,4,4,2.001602638,0.614852586,1.062075493,1.913358525,3.447596648,1.74838821
shelter,53033022606,0,0,0.386920146,0.167201419,0.157820551,0.355171799,0.799507295,0.299290406
shelter,53033031502,0,0,0.21213605,0.09721653,0.081938551,0.192846866,0.453995917,0.159382817
shelter,53033005200,0,0,1.904536329,0.569630121,1.027994101,1.824665021,3.239312158,1.674878454
shelter,53033007402,0,0,2.071450378,0.777160372,0.95219068,1.939433368,3.951130981,1.700153151
shelter,53033022203,0,0,0.615346424,0.252058662,0.263106071,0.569420808,1.232649429,0.487615519
shelter,53033027300,0,0,0.688550481,0.264687651,0.310415041,0.642694372,1.33095712,0.559971366
shelter,53033029601,0,0,0.24872063,0.101865534,0.106360436,0.230162738,0.498188493,0.197105249
shelter,53033030308,0,0,0.331801286,0.164593815,0.118510988,0.297232808,0.745690264,0.23854402
shelter,53033000800,3,3,1.923838385,0.695967835,0.909694503,1.809087572,3.598454549,1.599781988
shelter,53033002800,7,7,3.324270182,1.020694006,1.764410656,3.177836274,5.724564543,2.904064375
shelter,53033008700,6,6,7.500331483,1.98144998,4.358197875,7.251533661,12.06760904,6.778605339
shelter,53033021600,1,1,0.589311774,0.27614287,0.222800265,0.533622722,1.278410506,0.437552625
shelter,53033023500,0,0,0.397507114,0.158795744,0.173619694,0.369139184,0.785023582,0.318343936
shelter,53033028700,0,0,0.38221822,0.187002671,0.138449924,0.343322443,0.851596254,0.277026396
shelter,53033031100,0,0,0.225478129,0.091045516,0.097595375,0.209075046,0.447999547,0.179764743
shelter,53033032211,2,2,0.374568966,0.17604014,0.14120336,0.338990765,0.814045022,0.277660342
shelter,53033032800,0,0,0.241809618,0.113295155,0.091431048,0.218963609,0.524526675,0.179550414
shelter,53033025101,1,1,0.457319949,0.198307468,0.185953924,0.419566145,0.946901732,0.353165395
shelter,53033031205,0,0,0.232359791,0.095433038,0.09912383,0.214935492,0.466167764,0.183916776
shelter,53033000600,2,2,1.705451474,0.5258571,0.902720646,1.629732617,2.942786471,1.488252616
shelter,53033001400,3,3,1.962737747,0.666243382,0.972829044,1.858571365,3.551476736,1.666551199
shelter,53033001600,1,1,1.418852686,0.556162693,0.629554156,1.320982344,2.77242977,1.145093066
shelter,53033002400,6,6,3.548405866,1.144927153,1.822239485,3.376957047,6.259340064,3.058638829
shelter,53033002900,4,4,2.224885126,0.703720406,1.158030228,2.121295694,3.886546711,1.92842974
shelter,53033003400,1,1,1.553094483,0.538481437,0.758067446,1.467390331,2.841006592,1.309958694
shelter,53033003600,0,0,2.168567204,0.741558038,1.06916371,2.051902944,3.938737601,1.837107429
shelter,53033004200,4,4,2.827287784,0.886856329,1.479737354,2.697673932,4.918979331,2.456073562
shelter,53033004301,2,2,2.672371681,0.767759092,1.47884809,2.568467097,4.461682437,2.372698194
shelter,53033004500,1,1,2.042950964,0.674355189,1.032795141,1.939985122,3.644746724,1.749423692
shelter,53033004700,1,1,1.344107801,0.47825183,0.643586621,1.266327819,2.49216199,1.12406602
shelter,53033004800,0,0,1.393179684,0.479909821,0.683241678,1.317212571,2.539952654,1.177516392
shelter,53033005100,0,0,1.766592588,0.630401299,0.844041364,1.663821275,3.280506064,1.475940073
shelter,53033005400,2,2,1.93998032,0.606811974,1.017240718,1.851511265,3.370617636,1.686539547
shelter,53033005600,0,0,1.223308933,0.665830872,0.3958047,1.074432073,2.917502383,0.828849186
shelter,53033005700,1,1,1.333953734,0.56952995,0.550035884,1.226802843,2.736946801,1.037695106
shelter,53033005802,0,0,1.730503105,0.54979482,0.898024308,1.649260355,3.029507698,1.498094639
shelter,53033006300,2,2,2.691615712,0.886054689,1.363305572,2.556639565,4.795460563,2.30674055
shelter,53033006500,0,0,2.103623957,0.647518501,1.114722293,2.010525683,3.626868801,1.836530633
shelter,53033007300,0,0,2.709520112,0.742713406,1.54174578,2.613119699,4.429724989,2.430508554
shelter,53033007700,7,7,5.021391717,1.35734778,2.880241839,4.847404417,8.159424532,4.517390137
shelter,53033008100,40,40,25.97230125,4.47517742,18.30381827,25.59510964,35.79458768,24.85737769
shelter,53033008600,0,0,5.071939593,1.33317388,2.955415898,4.905301345,8.142933507,4.588396533
shelter,53033009300,8,8,9.898235362,2.058314558,6.474478023,9.690913062,14.50704136,9.28931498
shelter,53033009702,0,0,2.005362984,0.797352278,0.879329876,1.863448805,3.949881416,1.609108512
shelter,53033010001,13,13,10.4128828,2.275676453,6.66121401,10.17276876,15.53752623,9.70916701
shelter,53033010100,11,11,7.713323627,1.950117963,4.59066025,7.478012551,12.18324051,7.028872378
shelter,53033010900,9,9,6.93442965,1.723651393,4.164339072,6.729640054,10.87682412,6.338132816
shelter,53033011101,5,5,5.049730142,1.35312021,2.910929366,4.877642039,8.174431716,4.550962666
shelter,53033011200,6,6,4.597096882,1.308560805,2.558220064,4.421448529,7.643016491,4.090150108
shelter,53033011900,6,6,2.704479734,0.820287853,1.446824595,2.588045778,4.63026872,2.370045027
shelter,53033020700,0,0,0.723462128,0.299339957,0.306660623,0.668492307,1.457604055,0.570796388
shelter,53033020900,0,0,0.94196196,0.359859874,0.426791332,0.879928968,1.814583263,0.767888506
shelter,53033021300,0,0,0.829255475,0.302173804,0.389947375,0.779134885,1.557085077,0.68782477
shelter,53033021903,1,1,0.403620325,0.150343935,0.186586979,0.378230361,0.76687826,0.332146973
shelter,53033021905,0,0,0.364556696,0.153880141,0.151851642,0.335858565,0.743019251,0.285080959
shelter,53033022006,0,0,0.527526881,0.219363181,0.222638588,0.487086994,1.065903446,0.415294695
shelter,53033022500,0,0,0.475143691,0.163407292,0.233294847,0.449312496,0.865525668,0.401798589
shelter,53033022703,1,1,0.465125364,0.185792678,0.203167288,0.431936728,0.918518428,0.372508653
shelter,53033022803,1,1,0.383277292,0.141238488,0.178677004,0.359633856,0.724013238,0.316640069
shelter,53033023404,0,0,0.31723344,0.128452373,0.136986521,0.29404026,0.631303846,0.252620624
shelter,53033023601,0,0,0.428964124,0.161894792,0.196259004,0.401330117,0.820861852,0.351301169
shelter,53033023700,0,0,0.448586954,0.143731282,0.231464251,0.427192637,0.788580378,0.387432155
shelter,53033024500,0,0,1.434557514,0.526279937,0.671084935,1.346779994,2.703394705,1.187044988
shelter,53033024602,0,0,1.424728975,0.454635036,0.737170736,1.357294082,2.499550294,1.231897235
shelter,53033024800,0,0,0.376832594,0.13726566,0.177249558,0.354071467,0.707440166,0.312602599
shelter,53033025003,1,1,0.368991055,0.139759676,0.168340062,0.345066025,0.707478756,0.301781899
shelter,53033025302,0,0,0.871028256,0.282708998,0.445504629,0.828479003,1.540970007,0.749545807
shelter,53033025701,0,0,0.431870929,0.151805361,0.208676283,0.407431064,0.7956556,0.362639289
shelter,53033026001,4,4,1.839500215,0.733998291,0.804214843,1.70849484,3.630417285,1.473866215
shelter,53033026100,0,0,1.288421112,0.485807433,0.58991381,1.205560887,2.464255931,1.055522543
shelter,53033026200,0,0,0.67966401,0.205338819,0.364516864,0.65061744,1.16147978,0.596208462
shelter,53033026300,1,1,2.142271067,0.623506332,1.176132218,2.056915395,3.597922873,1.896337016
shelter,53033026700,0,0,1.117786176,0.389480788,0.543611145,1.055538911,2.049978674,0.941289935
shelter,53033026801,0,0,1.300143098,0.491515373,0.594040509,1.216130725,2.490237515,1.064083519
shelter,53033026802,0,0,0.904878218,0.360649781,0.395986929,0.840567394,1.784700759,0.725362058
shelter,53033027400,0,0,0.731974706,0.266315022,0.344609376,0.687857834,1.373292967,0.607464807
shelter,53033027500,0,0,0.681841292,0.266547086,0.30321105,0.635036987,1.330308574,0.550877812
shelter,53033027701,0,0,0.791033036,0.3529688,0.31331101,0.722370718,1.665930572,0.602442772
shelter,53033027702,0,0,0.791033036,0.3529688,0.31331101,0.722370718,1.665930571,0.602442772
shelter,53033028600,0,0,0.433097003,0.183366563,0.179917718,0.39881981,0.8842733,0.338211783
shelter,53033028802,0,0,0.352828154,0.145162382,0.150290416,0.326288303,0.708558856,0.279060366
shelter,53033028902,0,0,0.311655825,0.115722765,0.144429618,0.292162871,0.591137467,0.256761068
shelter,53033029205,0,0,0.306271294,0.15643228,0.10613052,0.272746659,0.701141162,0.216313384
shelter,53033029306,1,1,0.331447165,0.136447747,0.14110974,0.306488892,0.665850529,0.262081346
shelter,53033029407,0,0,0.261277097,0.121210426,0.099743179,0.237010509,0.563337084,0.195041598
shelter,53033029700,0,0,0.255538338,0.090154731,0.123136538,0.240979305,0.47169667,0.214312796
shelter,53033030003,0,0,0.274313841,0.102747755,0.126257961,0.256883218,0.522767013,0.22528026
shelter,53033030201,0,0,0.311234944,0.143851632,0.119239818,0.282513604,0.669535143,0.232793519
shelter,53033030311,1,1,0.364225627,0.184818859,0.127081307,0.324795019,0.830353811,0.258281813
shelter,53033030313,1,1,0.328356164,0.144370212,0.131840094,0.30058149,0.685468881,0.251887336
shelter,53033030403,0,0,0.298627412,0.171157751,0.091128209,0.259079313,0.736805902,0.195016167
shelter,53033030600,0,0,0.228788496,0.090796466,0.100479925,0.21265264,0.450155988,0.183723164
shelter,53033031302,0,0,0.215491778,0.143277356,0.054791962,0.179434525,0.587833894,0.124423377
shelter,53033031603,0,0,0.226620592,0.090152365,0.099328529,0.210568653,0.446492778,0.181803001
shelter,53033031906,0,0,0.27748151,0.105097156,0.126593957,0.259490557,0.532018362,0.226941972
shelter,53033031908,0,0,0.312347198,0.137585197,0.125199818,0.285841025,0.6527643,0.239392547
shelter,53033032006,0,0,0.233835462,0.090908889,0.104456345,0.217942584,0.454829086,0.189334932
shelter,53033032010,0,0,0.236006851,0.107979455,0.091300626,0.214607883,0.504582834,0.177468289
shelter,53033032102,0,0,0.266650247,0.098178248,0.124389053,0.250226491,0.503475529,0.220356965
shelter,53033032214,0,0,0.294217283,0.121295218,0.12510436,0.272005778,0.591545583,0.232498136
shelter,53033032309,0,0,0.284128106,0.117587541,0.120412404,0.262530911,0.572524978,0.224148916
shelter,53033032317,0,0,0.285537827,0.137976221,0.104729463,0.257090856,0.631284465,0.208432129
shelter,53033032322,0,0,0.265985038,0.138481863,0.090321111,0.235918865,0.616403552,0.185614779
shelter,53033032329,0,0,0.261642246,0.146193865,0.082201874,0.228397864,0.634804105,0.174062747
shelter,53033032500,1,1,0.279176646,0.116191985,0.117734981,0.257742033,0.564378296,0.219696886
shelter,53033032602,0,0,0.247209755,0.110046907,0.098130304,0.22584047,0.519891168,0.188493699
shelter,53033030802,0,0,0.235968324,0.13228925,0.073855447,0.205822051,0.573771589,0.156608314
shelter,53033032213,0,0,0.302583231,0.140379231,0.115506934,0.274478092,0.65241459,0.22587098
shelter,53033022102,1,1,0.519016444,0.194351208,0.238938219,0.48605309,0.98895664,0.426285024
shelter,53033022202,0,0,0.518540958,0.194153312,0.238738561,0.485613908,0.987995817,0.425910483
shelter,53033022300,0,0,0.935027944,0.290647898,0.492310929,0.892882222,1.619678818,0.814222561
shelter,53033022605,0,0,0.344933434,0.127392895,0.160522874,0.323568739,0.65236464,0.284733039
shelter,53033000300,3,3,1.333317828,0.479841818,0.632961228,1.254540366,2.487047796,1.110726224
shelter,53033000401,1,1,1.261788423,0.45748925,0.595621032,1.186218268,2.362935125,1.048429524
shelter,53033000500,2,2,1.531473814,0.622331229,0.65931083,1.4187913,3.053865044,1.217716791
shelter,53033001000,0,0,1.736828943,0.622236429,0.827349704,1.635055795,3.231972138,1.449121582
shelter,53033001200,2,2,2.337934926,0.756209181,1.19860951,2.224456982,4.129081207,2.013842046
shelter,53033001500,0,0,1.077760813,0.608906833,0.334366893,0.938323115,2.634027258,0.711308955
shelter,53033001701,2,2,2.208866205,0.726212071,1.119783713,2.098359599,3.93287466,1.893727735
shelter,53033001900,4,4,3.091771897,1.018362281,1.565364681,2.936565503,5.509959704,2.649234503
shelter,53033002200,2,2,1.999665127,0.601099871,1.075904406,1.915009084,3.409145161,1.756341981
shelter,53033002500,3,3,3.047107682,0.942178545,1.609932568,2.911111545,5.264893999,2.657103745
shelter,53033003200,1,1,1.282927138,0.497677,0.574119831,1.196074663,2.492371025,1.03967131
shelter,53033003500,2,2,2.02786108,0.635807576,1.061652889,1.934974159,3.527349414,1.761821888
shelter,53033004100,4,4,2.650077847,0.786384533,1.43753262,2.540574545,4.490789774,2.335029755
shelter,53033006200,6,6,3.334002881,0.967853619,1.833315762,3.20180927,5.592791073,2.95304075
shelter,53033006400,0,0,2.370611915,0.867983333,1.110644091,2.226073926,4.462700272,1.962962705
shelter,53033006600,0,0,1.915027486,0.562429437,1.045516557,1.837417165,3.229686869,1.691563073
shelter,53033007200,0,0,3.529753014,0.960415126,2.017058202,3.405919315,5.75202416,3.171179024
shelter,53033007401,1,1,2.134838665,0.736849982,1.045454784,2.018004977,3.896077759,1.803229936
shelter,53033007500,1,1,2.960358459,0.871911548,1.613364891,2.839740896,4.999203679,2.613137489
shelter,53033008001,23,23,14.21545874,3.257263771,8.893452121,13.85634141,21.59167758,13.1653888
shelter,53033008002,16,16,14.4188949,3.365416025,8.940053888,14.04147553,22.05697985,13.31629659
shelter,53033008400,0,0,2.695314065,0.844292012,1.41195676,2.572068313,4.68623668,2.342293592
shelter,53033008500,0,0,5.257257965,1.38566887,3.058751059,5.083630342,8.450299134,4.753518134
shelter,53033009200,26,26,22.77745114,4.278924005,15.53929319,22.38584986,32.25261886,21.62297469
shelter,53033009500,8,8,7.711076111,2.020250138,4.501398076,7.45930341,12.36280496,6.980346732
shelter,53033009701,0,0,2.14453651,0.829685887,0.961796974,2.000054576,4.160051443,1.739737132
shelter,53033009900,12,12,7.726427948,1.912736029,4.649816537,7.500013043,12.09908378,7.066998825
shelter,53033010402,9,9,8.610033722,2.191473338,5.10599437,8.343983048,13.63742932,7.836489403
shelter,53033010600,3,3,3.761264428,1.191540025,1.955644258,3.585628933,6.575402143,3.258697446
shelter,53033010800,9,9,7.74654045,1.877195295,4.713602,7.528631209,12.02657829,7.111091267
shelter,53033011002,5,5,6.082848183,1.701571007,3.420362697,5.857955626,10.03442106,5.432917098
shelter,53033011102,8,8,4.442888715,1.286096854,2.44733534,4.267668778,7.443251228,3.937822301
shelter,53033011300,6,6,5.013043355,1.408615879,2.811337337,4.826125211,8.286227446,4.473040655
shelter,53033011500,5,5,5.499120501,1.515720792,3.119048232,5.301414446,9.012239564,4.927116787
shelter,53033011800,6,6,4.384862874,1.265596322,2.419686644,4.212880611,7.336243114,3.889019157
shelter,53033020100,1,1,0.875259155,0.556592564,0.235597356,0.738528105,2.315886254,0.525877192
shelter,53033020200,1,1,0.78205007,0.394764949,0.274354082,0.698130912,1.777001765,0.556361884
shelter,53033020401,0,0,0.604695671,0.266434858,0.242321835,0.553355565,1.263941616,0.463395291
shelter,53033020800,0,0,0.754295338,0.373499943,0.2699143,0.675951024,1.693276838,0.542872968
shelter,53033021000,0,0,0.870049615,0.30301391,0.423279372,0.82164105,1.595241031,0.732784598
shelter,53033021400,0,0,0.625560211,0.23909153,0.283331289,0.584330446,1.205368382,0.509870074
shelter,53033021700,0,0,0.48780567,0.216943071,0.193806262,0.445708926,1.0252902,0.372119328
shelter,53033021904,0,0,0.335196529,0.147653796,0.134355509,0.30675007,0.70052693,0.256901823
shelter,53033021906,0,0,0.328320063,0.1409341,0.134725657,0.301695233,0.675763849,0.254762214
shelter,53033022101,0,0,0.594049562,0.212399217,0.283406639,0.559366954,1.104269275,0.495982602
shelter,53033022802,1,1,0.357048219,0.136466361,0.161714641,0.333515331,0.687985942,0.291015336
shelter,53033023000,0,0,0.319549432,0.121026287,0.14579047,0.298832256,0.612663894,0.261351231
shelter,53033023100,0,0,0.313007484,0.137249395,0.125989817,0.286656655,0.652377718,0.240427007
shelter,53033023401,0,0,0.350582489,0.151276379,0.143188427,0.321890088,0.723795998,0.27137107
shelter,53033023403,0,0,0.324558091,0.123556636,0.147468645,0.303319648,0.624019753,0.264933829
shelter,53033023604,0,0,0.361312074,0.147920904,0.154559379,0.334371972,0.723549253,0.286378957
shelter,53033023801,0,0,0.476750586,0.183290103,0.214910612,0.44499335,0.921609662,0.387705553
shelter,53033024100,0,0,0.763559111,0.363398251,0.284316109,0.689446017,1.672315205,0.562123947
shelter,53033024400,0,0,1.234664333,0.553524096,0.486880985,1.126609087,2.607572905,0.93810151
shelter,53033024601,0,0,1.426143839,0.481665946,0.709417433,1.351155639,2.573922726,1.21281715
shelter,53033024702,0,0,0.699670246,0.240909755,0.343241549,0.661549661,1.275302613,0.59144445
shelter,53033024903,0,0,0.369976904,0.151604861,0.158143479,0.342346393,0.741283003,0.293133334
shelter,53033025005,0,0,0.381993092,0.155245744,0.164434014,0.353880843,0.761772824,0.303717735
shelter,53033025102,0,0,0.373562374,0.142764117,0.169207661,0.34894543,0.719767612,0.304486799
shelter,53033025301,1,1,0.648200348,0.231639588,0.309362384,0.61039234,1.204597607,0.541290159
shelter,53033025500,0,0,0.427910724,0.189342154,0.170810238,0.391309421,0.896681356,0.327243985
shelter,53033025702,0,0,0.339079818,0.138144583,0.145655419,0.314015996,0.677142635,0.269316981
shelter,53033025803,0,0,0.347921216,0.16467831,0.130252367,0.31446847,0.75942882,0.256908408
shelter,53033028100,0,0,0.54310061,0.246447632,0.211746501,0.494556252,1.155391524,0.410127849
shelter,53033028300,0,0,0.394541655,0.140274168,0.189024942,0.371743033,0.731235848,0.330038317
shelter,53033028402,0,0,0.427221629,0.158606821,0.19801261,0.400508821,0.810263008,0.351993378
shelter,53033028801,0,0,0.360530008,0.14501733,0.15656103,0.334482486,0.714768066,0.287904047
shelter,53033028901,0,0,0.344709873,0.154877946,0.135656604,0.314426426,0.728970807,0.261624745
shelter,53033029001,0,0,0.300800232,0.146230922,0.109662159,0.270521926,0.667528059,0.218819786
shelter,53033029003,0,0,0.291025858,0.142447241,0.105371907,0.261388471,0.648589841,0.210879091
shelter,53033029101,0,0,0.306934915,0.113803729,0.142404057,0.287788032,0.58172492,0.253006317
shelter,53033029304,0,0,0.320335598,0.121823688,0.145670123,0.299412455,0.615553897,0.261588951
shelter,53033029307,0,0,0.289752474,0.126055586,0.117470168,0.265694548,0.601100936,0.223412547
shelter,53033029405,0,0,0.276325891,0.12165943,0.110810407,0.252896391,0.57731871,0.21183433
shelter,53033029503,0,0,0.256538338,0.103210959,0.111381807,0.237996734,0.508662592,0.204841856
shelter,53033029504,0,0,0.257138971,0.119374104,0.09809731,0.233227816,0.554651268,0.191880942
shelter,53033029602,0,0,0.239251687,0.1006003,0.099996568,0.220545721,0.486539948,0.187419505
shelter,53033029801,0,0,0.273277853,0.09447952,0.133665778,0.258276517,0.499158137,0.230707194
shelter,53033029802,1,1,0.278180005,0.109846985,0.122681158,0.258736028,0.545803426,0.223841758
shelter,53033030100,0,0,0.30207405,0.153338985,0.105354731,0.269351128,0.688826327,0.214159075
shelter,53033030202,0,0,0.287978657,0.12000706,0.121313015,0.265818523,0.582597385,0.226496718
shelter,53033030304,2,2,0.372625432,0.172389634,0.142629498,0.338182294,0.802062902,0.278571418
shelter,53033030309,0,0,0.316298826,0.143782377,0.123115171,0.287940227,0.673608136,0.238640904
shelter,53033030312,0,0,0.342757399,0.179610337,0.115587998,0.303591738,0.797621703,0.238197837
shelter,53033030314,0,0,0.299948121,0.145963709,0.10924075,0.26970356,0.666055119,0.218073892
shelter,53033030401,0,0,0.270566492,0.10821224,0.118059612,0.251217099,0.534685673,0.216578168
shelter,53033030503,0,0,0.238626386,0.10711882,0.093987312,0.217695281,0.504361248,0.181191896
shelter,53033030700,0,0,0.231659196,0.107768348,0.088200401,0.210040083,0.500322965,0.17267617
shelter,53033030801,0,0,0.236867047,0.090681045,0.107140367,0.221208867,0.456824495,0.192939461
shelter,53033031204,1,1,0.240786475,0.090379499,0.110642524,0.22542782,0.459397488,0.197592837
shelter,53033031206,0,0,0.230623536,0.105580046,0.089166897,0.209690787,0.493253295,0.173365901
shelter,53033031301,0,0,0.212528903,0.124167325,0.063420955,0.183498238,0.531096979,0.13679949
shelter,53033031601,0,0,0.239120808,0.116213407,0.087200461,0.21506267,0.530557713,0.173978568
shelter,53033032011,1,1,0.256000769,0.113542949,0.10196594,0.234013135,0.537201244,0.195549901
shelter,53033032103,2,2,0.359301948,0.135536657,0.164451843,0.336176317,0.687371622,0.294305375
shelter,53033032104,0,0,0.309848976,0.132178992,0.127857064,0.284996864,0.635423374,0.24112786
shelter,53033032207,0,0,0.309844298,0.139821802,0.121437522,0.282415926,0.656959992,0.234645212
shelter,53033031706,0,0,0.241290891,0.108965124,0.094504828,0.219904048,0.511830286,0.182662439
shelter,53033031903,1,1,0.338074544,0.127559443,0.15470697,0.316305822,0.646845597,0.276893491
shelter,53033031904,0,0,0.288367295,0.124111303,0.118050693,0.264873291,0.594451498,0.223483485
shelter,53033031907,0,0,0.300625179,0.114684794,0.136365751,0.280878456,0.578666954,0.245203183
shelter,53033032007,0,0,0.241359844,0.087054571,0.114387223,0.227041583,0.450739324,0.200912141
