encountered_week,residence_puma,pathogen,modeled_intensity_mean,modeled_intensity_sd,modeled_intensity_lower_95_CI,modeled_intensity_median,modeled_intensity_upper_95_CI,modeled_intensity_mode
2019-W28,10100,h1n1pdm,Inf,Inf,5.00787111010052e-68,8.30913233358146e-08,1.23148110163725e+53,8.32771721037437e-08
2019-W29,10100,h1n1pdm,Inf,Inf,1.99350924088275e-71,5.11812304963325e-08,1.16657147406124e+56,5.13038579269685e-08
2019-W30,10100,h1n1pdm,Inf,Inf,7.27549790623147e-75,3.14879643947141e-08,1.20237669189895e+59,3.15685162470774e-08
2019-W31,10100,h1n1pdm,Inf,Inf,2.46544773046303e-78,1.93657587893782e-08,1.33372254979575e+62,1.9418486151927e-08
2018-W47,10200,h1n1pdm,Inf,Inf,2.49028501833658e-77,4.91653838093902e-08,8.52802101632868e+61,4.92854541259652e-08
2018-W48,10200,h1n1pdm,Inf,Inf,6.54170352561031e-74,7.21065146885259e-08,7.02559976638336e+58,7.22741647595005e-08
2018-W49,10200,h1n1pdm,Inf,Inf,1.59393476224122e-70,1.05814929418463e-07,6.24697564822104e+55,1.06048608379098e-07
2018-W50,10200,h1n1pdm,Inf,Inf,3.56089190836322e-67,1.5547306137623e-07,6.07281994454187e+52,1.55798252924262e-07
2018-W51,10200,h1n1pdm,Inf,Inf,7.19936396900315e-64,2.291244432339e-07,6.56218478183895e+49,2.29576593226787e-07
2018-W52,10200,h1n1pdm,Inf,Inf,1.29362788366713e-60,3.38670513712186e-07,8.02544027470402e+46,3.39298180221903e-07
2019-W01,10200,h1n1pdm,Inf,Inf,2.0135335635136e-57,5.00329802883717e-07,1.13175969682272e+44,5.01196896182018e-07
2019-W02,10200,h1n1pdm,Inf,Inf,2.63172062576537e-54,7.35989932940968e-07,1.88418390937909e+41,7.37177736709829e-07
2019-W03,10200,h1n1pdm,Inf,Inf,2.77661559106369e-51,1.07192863113193e-06,3.80874765541515e+38,1.07353421083759e-06
2019-W04,10200,h1n1pdm,Inf,Inf,2.24781775959608e-48,1.53215411079965e-06,9.66198566200548e+35,1.53428075842709e-06
2019-W05,10200,h1n1pdm,Inf,Inf,1.31535280032274e-45,2.13237657432563e-06,3.21405903569875e+33,2.13511969517814e-06
2019-W06,10200,h1n1pdm,Inf,Inf,5.16392197916941e-43,2.85888988006358e-06,1.47840431097129e+31,2.86230903786459e-06
2019-W07,10200,h1n1pdm,Inf,Inf,1.23328206213302e-40,3.61859082862243e-06,9.95945402302953e+28,3.62265103840326e-06
2019-W08,10200,h1n1pdm,Inf,Inf,1.62491638079637e-38,4.30168656254297e-06,1.07228525507306e+27,4.30625851651512e-06
2019-W09,10200,h1n1pdm,2.37542341244097e+275,Inf,1.07637352440398e-36,4.86896391717541e-06,2.08063428919495e+25,4.87389385627272e-06
2019-W10,10200,h1n1pdm,4.69894069817579e+249,Inf,3.25100362352669e-35,5.34393163505802e-06,8.32057115463026e+23,5.3491080381583e-06
2019-W11,10200,h1n1pdm,3.27530263497774e+231,Inf,4.0551678801206e-34,5.78414422011695e-06,7.8303310389342e+22,5.78954138435697e-06
2019-W12,10200,h1n1pdm,8.09113351907406e+220,Inf,1.89972078257902e-33,6.21034192625197e-06,1.92917543975201e+22,6.21599538483865e-06
2019-W13,10200,h1n1pdm,7.05005299525906e+217,Inf,3.10688768874527e-33,6.58266736505545e-06,1.32574281178744e+22,6.58861334074236e-06
2019-W14,10200,h1n1pdm,2.13457111929045e+222,Inf,1.71061992564252e-33,6.78550021848368e-06,2.55721312804987e+22,6.79168651240179e-06
2019-W15,10200,h1n1pdm,2.20509244110805e+234,Inf,3.21008265920697e-34,6.67895658101351e-06,1.31847795369025e+23,6.68519291847339e-06
2019-W16,10200,h1n1pdm,7.69756327652609e+253,Inf,2.19287100290176e-35,6.21724448573557e-06,1.66892515394724e+24,6.22326250760729e-06
2019-W17,10200,h1n1pdm,8.9955591446315e+280,Inf,5.99977568862184e-37,5.42242303012921e-06,4.6268969106956e+25,5.42792520302355e-06
2019-W18,10200,h1n1pdm,Inf,Inf,7.40601733893551e-39,4.4407046508572e-06,2.50542092568485e+27,4.44547545603948e-06
2019-W19,10200,h1n1pdm,Inf,Inf,4.65731183348331e-41,3.43785289388787e-06,2.37849573131408e+29,3.44179414507719e-06
2019-W20,10200,h1n1pdm,Inf,Inf,1.68103171908042e-43,2.55409245011804e-06,3.62142087647636e+31,2.55722739188906e-06
2019-W21,10200,h1n1pdm,Inf,Inf,3.82188310354288e-46,1.82661952824922e-06,8.10898207527045e+33,1.82902544344339e-06
2019-W22,10200,h1n1pdm,Inf,Inf,5.88852023333583e-49,1.25516627278053e-06,2.47273413036195e+36,1.25694705708628e-06
2019-W23,10200,h1n1pdm,Inf,Inf,6.57918354499333e-52,8.33882750323048e-07,9.71717049169386e+38,8.35160817363174e-07
2019-W24,10200,h1n1pdm,Inf,Inf,5.658521675646e-55,5.40920216299355e-07,4.72816582192002e+41,5.4181638091083e-07
2019-W25,10200,h1n1pdm,Inf,Inf,3.924625917912e-58,3.44748704582063e-07,2.75350191133276e+44,3.45365713516183e-07
2019-W26,10200,h1n1pdm,Inf,Inf,2.27286551981453e-61,2.16382051790194e-07,1.86220758286062e+47,2.16800102847953e-07
2019-W27,10200,h1n1pdm,Inf,Inf,1.13465320957103e-64,1.34495408939215e-07,1.43263537657327e+50,1.34775360527953e-07
2019-W28,10200,h1n1pdm,Inf,Inf,5.00627944901734e-68,8.30880826116969e-08,1.23175303963342e+53,8.32739244172084e-08
2019-W29,10200,h1n1pdm,Inf,Inf,1.99285690600965e-71,5.1179105614796e-08,1.16683358586742e+56,5.13017257088613e-08
2019-W30,10200,h1n1pdm,Inf,Inf,7.27304128014982e-75,3.14865778705191e-08,1.20265277598444e+59,3.15671231909811e-08
2019-W31,10200,h1n1pdm,Inf,Inf,2.46458733046805e-78,1.93648572849688e-08,1.33403660384463e+62,1.94175793183926e-08
2018-W47,10300,h1n1pdm,Inf,Inf,2.49438806688044e-77,4.91641235968199e-08,8.51323359956439e+61,4.92842217433611e-08
2018-W48,10300,h1n1pdm,Inf,Inf,6.55202047143073e-74,7.21047246672112e-08,7.01393044245783e+58,7.2272414813601e-08
2018-W49,10300,h1n1pdm,Inf,Inf,1.5963366285759e-70,1.05812387855127e-07,6.23705420692993e+55,1.06046124161944e-07
2018-W50,10300,h1n1pdm,Inf,Inf,3.56600886185287e-67,1.55469451747955e-07,6.06361547804292e+52,1.5579472417985e-07
2018-W51,10300,h1n1pdm,Inf,Inf,7.20920896309842e-64,2.29119305307424e-07,6.5527126698157e+49,2.29571565370339e-07
2018-W52,10300,h1n1pdm,Inf,Inf,1.29530755029658e-60,3.38663183845402e-07,8.01443342189002e+46,3.39290991522429e-07
2019-W01,10300,h1n1pdm,Inf,Inf,2.01600987822185e-57,5.00319360337243e-07,1.13028852580501e+44,5.01186620922312e-07
2019-W02,10300,h1n1pdm,Inf,Inf,2.6347781590236e-54,7.35975133791021e-07,1.88186882376178e+41,7.37163110721073e-07
2019-W03,10300,h1n1pdm,Inf,Inf,2.7796542642984e-51,1.0719078895173e-06,3.80433730846017e+38,1.07351360326465e-06
2019-W04,10300,h1n1pdm,Inf,Inf,2.2501277457402e-48,1.53212562698141e-06,9.65147569495125e+35,1.53425230049089e-06
2019-W05,10300,h1n1pdm,Inf,Inf,1.31661785253461e-45,2.13233855943857e-06,3.21078632367284e+33,2.13508150300036e-06
2019-W06,10300,h1n1pdm,Inf,Inf,5.16855328245545e-43,2.8588411277135e-06,1.47700043901965e+31,2.86225982647476e-06
2019-W07,10300,h1n1pdm,Inf,Inf,1.23430959808242e-40,3.61853205014028e-06,9.95066887134558e+28,3.62259165097078e-06
2019-W08,10300,h1n1pdm,Inf,Inf,1.62616942895226e-38,4.30162031395061e-06,1.07141008061241e+27,4.30619179896079e-06
2019-W09,10300,h1n1pdm,2.34387271901942e+275,Inf,1.07713939773058e-36,4.86889307673593e-06,2.0790687323273e+25,4.87382285526819e-06
2019-W10,10300,h1n1pdm,4.64411556120691e+249,Inf,3.25313432284843e-35,5.343858365263e-06,8.31481450301739e+23,5.34903486251214e-06
2019-W11,10300,h1n1pdm,3.24135092657171e+231,Inf,4.0576179616121e-34,5.78406963909738e-06,7.82535194115434e+22,5.7894669444106e-06
2019-W12,10300,h1n1pdm,8.01524984962213e+220,Inf,1.90078401787699e-33,6.21026683746223e-06,1.92804413773467e+22,6.21592031643955e-06
2019-W13,10300,h1n1pdm,6.98867250938851e+217,Inf,3.10851516663757e-33,6.58259305927935e-06,1.32501939896789e+22,6.58853890937306e-06
2019-W14,10300,h1n1pdm,2.11674769216975e+222,Inf,1.71147253576253e-33,6.78542912915685e-06,2.5558945861891e+22,6.79161525324283e-06
2019-W15,10300,h1n1pdm,2.18676930862337e+234,Inf,3.211638504254e-34,6.67889207764103e-06,1.31782185383466e+23,6.68512830203096e-06
2019-W16,10300,h1n1pdm,7.63147837714205e+253,Inf,2.19393007641726e-35,6.21718953938384e-06,1.66810387728728e+24,6.22320751212547e-06
2019-W17,10300,h1n1pdm,8.9130089274104e+280,Inf,6.00273245505211e-37,5.42237953709691e-06,4.62458999387239e+25,5.42788167516617e-06
2019-W18,10300,h1n1pdm,Inf,Inf,7.40981766814674e-39,4.44067264178237e-06,2.5041281941932e+27,4.44544338535171e-06
2019-W19,10300,h1n1pdm,Inf,Inf,4.65983867001347e-41,3.43783090039918e-06,2.37720463717207e+29,3.44177206006308e-06
2019-W20,10300,h1n1pdm,Inf,Inf,1.68200605618989e-43,2.55407817958578e-06,3.61932903617241e+31,2.55721301639928e-06
2019-W21,10300,h1n1pdm,Inf,Inf,3.82426402542947e-46,1.82661080321766e-06,8.10396248164556e+33,1.8290166181492e-06
2019-W22,10300,h1n1pdm,Inf,Inf,5.89247429925038e-49,1.25516129911975e-06,2.47108782697082e+36,1.25694200507419e-06
2019-W23,10300,h1n1pdm,Inf,Inf,6.58394812489135e-52,8.33880129717174e-07,9.7102039518614e+38,8.35158147964067e-07
2019-W24,10300,h1n1pdm,Inf,Inf,5.66293700527094e-55,5.40918963477481e-07,4.72451734953308e+41,5.41815105707264e-07
2019-W25,10300,h1n1pdm,Inf,Inf,3.92791938776534e-58,3.4474819355852e-07,2.75121850125509e+44,3.45365199117723e-07
2019-W26,10300,h1n1pdm,Inf,Inf,2.27491186096772e-61,2.16381913307981e-07,1.86055152813435e+47,2.16799972793327e-07
2019-W27,10300,h1n1pdm,Inf,Inf,1.13574629319802e-64,1.34495437200189e-07,1.43127252290477e+50,1.34775402701272e-07
2019-W28,10300,h1n1pdm,Inf,Inf,5.01142564210117e-68,8.30881712829232e-08,1.23050290487936e+53,8.32740282154234e-08
2019-W29,10300,h1n1pdm,Inf,Inf,1.99503676032689e-71,5.11792043850866e-08,1.16557349840384e+56,5.13018384096867e-08
2019-W30,10300,h1n1pdm,Inf,Inf,7.28148395285247e-75,3.14866659444536e-08,1.20127445876733e+59,3.15672229714088e-08
2019-W31,10300,h1n1pdm,Inf,Inf,2.46761564691204e-78,1.93649283209884e-08,1.3324181816694e+62,1.94176596362375e-08
2018-W47,10400,h1n1pdm,Inf,Inf,2.48975199720215e-77,4.91636895753921e-08,8.52914836468724e+61,4.92838027366702e-08
2018-W48,10400,h1n1pdm,Inf,Inf,6.54021838560796e-74,7.21042265803018e-08,7.02665986255802e+58,7.22719360713948e-08
2018-W49,10400,h1n1pdm,Inf,Inf,1.59355293694357e-70,1.05811860051797e-07,6.24803249524013e+55,1.06045620667931e-07
2018-W50,10400,h1n1pdm,Inf,Inf,3.55999640761811e-67,1.55468974680143e-07,6.07395523683371e+52,1.55794276697426e-07
2018-W51,10400,h1n1pdm,Inf,Inf,7.19747298610034e-64,2.29119042293932e-07,6.56352387040399e+49,2.29571337278835e-07
2018-W52,10400,h1n1pdm,Inf,Inf,1.29327488494076e-60,3.38663446228882e-07,8.02720857067633e+46,3.39291293870717e-07
2019-W01,10400,h1n1pdm,Inf,Inf,2.01296600355776e-57,5.00320710852389e-07,1.13202624542944e+44,5.01188014795556e-07
2019-W02,10400,h1n1pdm,Inf,Inf,2.63095922994568e-54,7.35978538680708e-07,1.8846535830313e+41,7.371665595832e-07
2019-W03,10400,h1n1pdm,Inf,Inf,2.77579714680879e-51,1.07191491768877e-06,3.80974235630232e+38,1.07352067309092e-06
2019-W04,10400,h1n1pdm,Inf,Inf,2.24714869073504e-48,1.53213863496865e-06,9.66460029898796e+35,1.53426534508233e-06
2019-W05,10400,h1n1pdm,Inf,Inf,1.31496182258247e-45,2.13236079622995e-06,3.21494893602151e+33,2.13510377856254e-06
2019-W06,10400,h1n1pdm,Inf,Inf,5.16241101624835e-43,2.85887649780567e-06,1.47881681030958e+31,2.86229526430162e-06
2019-W07,10400,h1n1pdm,Inf,Inf,1.2329335235932e-40,3.61858384761841e-06,9.96220135925367e+28,3.62264354427179e-06
2019-W08,10400,h1n1pdm,Inf,Inf,1.62448429070745e-38,4.30169023335889e-06,1.07257055381882e+27,4.30626182225663e-06
2019-W09,10400,h1n1pdm,2.38610825575759e+275,Inf,1.07611408373651e-36,4.86898167038145e-06,2.08115092267946e+25,4.87391157259044e-06
2019-W10,10400,h1n1pdm,4.71653261679926e+249,Inf,3.25033174892197e-35,5.34396599671371e-06,8.32241314421324e+23,5.34914267262774e-06
2019-W11,10400,h1n1pdm,3.28485042351748e+231,Inf,4.05451042960437e-34,5.78419740442042e-06,7.83177657115886e+22,5.78959497891168e-06
2019-W12,10400,h1n1pdm,8.10741368794328e+220,Inf,1.89951604592498e-33,6.2104161019885e-06,1.92944216391197e+22,6.21606992570725e-06
2019-W13,10400,h1n1pdm,7.05735050322321e+217,Inf,3.10674706870713e-33,6.58276404343956e-06,1.32585394331768e+22,6.58871024344809e-06
2019-W14,10400,h1n1pdm,2.13453779286092e+222,Inf,1.71065861941232e-33,6.78561850657027e-06,2.55727430760062e+22,6.79180490092988e-06
2019-W15,10400,h1n1pdm,2.20257922577101e+234,Inf,3.2103797963552e-34,6.67909139134794e-06,1.318427498245e+23,6.6853277820366e-06
2019-W16,10400,h1n1pdm,7.67957405643823e+253,Inf,2.19322519744258e-35,6.21738710975406e-06,1.66875866642681e+24,6.22340518789712e-06
2019-W17,10400,h1n1pdm,8.96311091265633e+280,Inf,6.0011390536197e-37,5.42256238005652e-06,4.62616443010782e+25,5.42806464263321e-06
2019-W18,10400,h1n1pdm,Inf,Inf,7.40815346813261e-39,4.44083103022844e-06,2.50488820369018e+27,4.44560195944737e-06
2019-W19,10400,h1n1pdm,Inf,Inf,4.65891703246122e-41,3.43796022649217e-06,2.37787201678512e+29,3.44190162207886e-06
2019-W20,10400,h1n1pdm,Inf,Inf,1.68169750512098e-43,2.55417923610643e-06,3.62030843627821e+31,2.55731430652281e-06
2019-W21,10400,h1n1pdm,Inf,Inf,3.82357631832071e-46,1.82668663432099e-06,8.10616114355253e+33,1.82909265922565e-06
2019-W22,10400,h1n1pdm,Inf,Inf,5.89138266035248e-49,1.25521585884007e-06,2.47178250584032e+36,1.25699675468535e-06
2019-W23,10400,h1n1pdm,Inf,Inf,6.58264304400135e-52,8.33918011368496e-07,9.71310256579328e+38,8.35196197641445e-07
2019-W24,10400,h1n1pdm,Inf,Inf,5.66170585120178e-55,5.40944598623603e-07,4.72603944087569e+41,5.41840881816478e-07
2019-W25,10400,h1n1pdm,Inf,Inf,3.92696989921455e-58,3.44765209780836e-07,2.75218418657293e+44,3.4538232799208e-07
2019-W26,10400,h1n1pdm,Inf,Inf,2.27429693959246e-61,2.16393019868255e-07,1.86126620069907e+47,2.1681116619039e-07
2019-W27,10400,h1n1pdm,Inf,Inf,1.13540283058371e-64,1.34502605867139e-07,1.43187479132893e+50,1.34782636030887e-07
2019-W28,10400,h1n1pdm,Inf,Inf,5.00973450179695e-68,8.30927638302799e-08,1.23106947193572e+53,8.32786675402797e-08
2019-W29,10400,h1n1pdm,Inf,Inf,1.99428869380342e-71,5.11821341751544e-08,1.16615928137656e+56,5.13048012546938e-08
2019-W30,10400,h1n1pdm,Inf,Inf,7.27846545952997e-75,3.14885305097639e-08,1.20193132593223e+59,3.15691104743221e-08
2019-W31,10400,h1n1pdm,Inf,Inf,2.46649070998648e-78,1.93661132368858e-08,1.33320807979392e+62,1.94188602481521e-08
2018-W47,10501,h1n1pdm,Inf,Inf,2.48898718223786e-77,4.91636903371289e-08,8.53188802145091e+61,4.92837692062457e-08
2018-W48,10501,h1n1pdm,Inf,Inf,6.5384316908204e-74,7.21041608055818e-08,7.02866226468768e+58,7.22718223719357e-08
2018-W49,10501,h1n1pdm,Inf,Inf,1.59317138600605e-70,1.05811665482652e-07,6.24958786874546e+55,1.06045359501633e-07
2018-W50,10501,h1n1pdm,Inf,Inf,3.55926299891641e-67,1.55468545129416e-07,6.07525007270843e+52,1.55793755588688e-07
2018-W51,10501,h1n1pdm,Inf,Inf,7.19622753551433e-64,2.29118198737956e-07,6.56469075912864e+49,2.29570370565415e-07
2018-W52,10501,h1n1pdm,Inf,Inf,1.29309297400999e-60,3.38661890573809e-07,8.02835551337351e+46,3.39289578441556e-07
2019-W01,10501,h1n1pdm,Inf,Inf,2.01274647388574e-57,5.00317959517945e-07,1.13214924166652e+44,5.01185066600119e-07
2019-W02,10501,h1n1pdm,Inf,Inf,2.63075272846762e-54,7.3597382885557e-07,1.88479556331819e+41,7.37161625865074e-07
2019-W03,10501,h1n1pdm,Inf,Inf,2.7756603238817e-51,1.07190709662159e-06,3.8099071832834e+38,1.07351262888324e-06
2019-W04,10501,h1n1pdm,Inf,Inf,2.24709944207741e-48,1.53212608009528e-06,9.6647249205346e+35,1.53425261523146e-06
2019-W05,10501,h1n1pdm,Inf,Inf,1.31496579816228e-45,2.1323413987108e-06,3.21490017531281e+33,2.13508431900151e-06
2019-W06,10501,h1n1pdm,Inf,Inf,5.16253864579067e-43,2.8588478798509e-06,1.47875750217138e+31,2.86226674247463e-06
2019-W07,10501,h1n1pdm,Inf,Inf,1.23298550787955e-40,3.61854423087493e-06,9.96159513113824e+28,3.62260409750028e-06
2019-W08,10501,h1n1pdm,Inf,Inf,1.62457204299965e-38,4.30163900652465e-06,1.07248891395493e+27,4.30621065980144e-06
2019-W09,10501,h1n1pdm,2.38295180280223e+275,Inf,1.07617725344509e-36,4.8689189859995e-06,2.08097525151551e+25,4.87384875358279e-06
2019-W10,10501,h1n1pdm,4.71079538103793e+249,Inf,3.25050913501133e-35,5.3438920917437e-06,8.3217126394745e+23,5.34906850390775e-06
2019-W11,10501,h1n1pdm,3.28169749353081e+231,Inf,4.05467374987796e-34,5.78411197194894e-06,7.83119686352217e+22,5.7895093115228e-06
2019-W12,10501,h1n1pdm,8.10293008681506e+220,Inf,1.89954486095885e-33,6.21031857425375e-06,1.92933956369342e+22,6.21597228218759e-06
2019-W13,10501,h1n1pdm,7.0573797780946e+217,Inf,3.10668381612555e-33,6.58265447613721e-06,1.32582496802607e+22,6.58860061034777e-06
2019-W14,10501,h1n1pdm,2.13605722295895e+222,Inf,1.7105477847433e-33,6.78549909200607e-06,2.55732182892088e+22,6.79168530275234e-06
2019-W15,10501,h1n1pdm,2.2060378723229e+234,Inf,3.21000801466716e-34,6.67896743536504e-06,1.31851435938993e+23,6.68520343914047e-06
2019-W16,10501,h1n1pdm,7.69938624665011e+253,Inf,2.19285052484392e-35,6.21726574861696e-06,1.6689547260633e+24,6.22328327362457e-06
2019-W17,10501,h1n1pdm,8.99664223312792e+280,Inf,5.99977327042555e-37,5.4224513740433e-06,4.62695587040874e+25,5.42795308810296e-06
2019-W18,10501,h1n1pdm,Inf,Inf,7.40604686120061e-39,4.44073593827882e-06,2.50545160778267e+27,4.44550644904092e-06
2019-W19,10501,h1n1pdm,Inf,Inf,4.65733263383934e-41,3.43788339323538e-06,2.37853285453041e+29,3.44182453336401e-06
2019-W20,10501,h1n1pdm,Inf,Inf,1.68103466047066e-43,2.55411975528869e-06,3.62150124589875e+31,2.55725466712552e-06
2019-W21,10501,h1n1pdm,Inf,Inf,3.82186949497699e-46,1.82664237840501e-06,8.10923638999392e+33,1.82904830937156e-06
2019-W22,10501,h1n1pdm,Inf,Inf,5.88845557019806e-49,1.25518427707657e-06,2.47283932704523e+36,1.25696513827712e-06
2019-W23,10501,h1n1pdm,Inf,Inf,6.57905141807056e-52,8.33896256124557e-07,9.71770782335105e+38,8.35174447883997e-07
2019-W24,10501,h1n1pdm,Inf,Inf,5.65834908414203e-55,5.40929985135677e-07,4.72849347489547e+41,5.4182629094219e-07
2019-W25,10501,h1n1pdm,Inf,Inf,3.92446123694119e-58,3.44755576197639e-07,2.75373398255379e+44,3.45372720138116e-07
2019-W26,10501,h1n1pdm,Inf,Inf,2.27274219350268e-61,2.16386772545536e-07,1.86239386655411e+47,2.16804941931496e-07
2019-W27,10501,h1n1pdm,Inf,Inf,1.13457693541331e-64,1.34498597625603e-07,1.43280213996977e+50,1.34778645697007e-07
2019-W28,10501,h1n1pdm,Inf,Inf,5.00587537887958e-68,8.30902100609204e-08,1.23191719780812e+53,8.32761264505701e-08
2019-W29,10501,h1n1pdm,Inf,Inf,1.99266833590032e-71,5.11805131614403e-08,1.16700925262199e+56,5.13031886066137e-08
2019-W30,10501,h1n1pdm,Inf,Inf,7.27224945204085e-75,3.14875035730665e-08,1.20285501907386e+59,3.15680887557755e-08
2019-W31,10501,h1n1pdm,Inf,Inf,2.46428321090637e-78,1.936546334185e-08,1.33428480888287e+62,1.94182134515036e-08
2018-W47,10502,h1n1pdm,Inf,Inf,2.49628930914428e-77,4.91695177276129e-08,8.5086462472481e+61,4.92896153552897e-08
2018-W48,10502,h1n1pdm,Inf,Inf,6.55717068151524e-74,7.21122998491407e-08,7.0099200972814e+58,7.22799883062672e-08
2018-W49,10502,h1n1pdm,Inf,Inf,1.59762677410453e-70,1.05823011483331e-07,6.23329314844405e+55,1.0605674435196e-07
2018-W50,10502,h1n1pdm,Inf,Inf,3.56896240249034e-67,1.55484337203078e-07,6.05978192901044e+52,1.55809603988412e-07
2018-W51,10502,h1n1pdm,Inf,Inf,7.21530599232609e-64,2.29140176569463e-07,6.54839507824668e+49,2.29592429341247e-07
2018-W52,10502,h1n1pdm,Inf,Inf,1.29642152317804e-60,3.38692459916543e-07,8.00896400808437e+46,3.39320261664979e-07
2019-W01,10502,h1n1pdm,Inf,Inf,2.01776439143521e-57,5.0036028746264e-07,1.12949499015711e+44,5.01227550569171e-07
2019-W02,10502,h1n1pdm,Inf,Inf,2.63708506276362e-54,7.36031922330367e-07,1.88051999706385e+41,7.37219924918997e-07
2019-W03,10502,h1n1pdm,Inf,Inf,2.78208509606587e-51,1.07198562609238e-06,3.80157840036483e+38,1.07359141470565e-06
2019-W04,10502,h1n1pdm,Inf,Inf,2.25207518447082e-48,1.53222963038894e-06,9.64447098343921e+35,1.53435646506413e-06
